source_path,integration_class,status,exact_path_rt56_collision,output_path,reason,donor_sha256,output_sha256,donor_source_commit,donor_source_blob,donor_source_sha256,donor_source_checkout,artwork_source_kind,artwork_source_base_commit,artwork_source_sha256,rt56_base_sha256,previous_source_commit,previous_source_sha256
.gitignore,ADD,SHIPPED,no,.gitignore,RT56과 같은 경로가 없는 HOK 고유 콘텐츠/메타데이터,675C178BE6E1AB678D1EE804AD3B79EA084EF140576AB5C66B217138D8C3EBCC,675C178BE6E1AB678D1EE804AD3B79EA084EF140576AB5C66B217138D8C3EBCC,887930f6e88c80568d62dab9cfbe1ba8a498a252,8221eaeab9145dd5eea72dea6f025ab0d07a2119,675C178BE6E1AB678D1EE804AD3B79EA084EF140576AB5C66B217138D8C3EBCC,raw,,,,,,
AGENTS.md,OVERRIDE,SHIPPED,no,AGENTS.md,신규 포트의 작업·안전·검증 계약,8C59D493DD618A9462DE7EB3D66F761BBD09EF2DBB02C6CB96DE068CF1B00065,862DEFE2C57AE5EA059629C924EA73EF548F28EF4CCAF77AA409383C661C59D8,887930f6e88c80568d62dab9cfbe1ba8a498a252,eaea209ecb620bb2a75320950f6b95c615217b89,8C59D493DD618A9462DE7EB3D66F761BBD09EF2DBB02C6CB96DE068CF1B00065,raw,,,,,,
common/achievements/HoK_achievements.txt,ADD,SHIPPED,no,common/achievements/HoK_achievements.txt,RT56과 같은 경로가 없는 HOK 고유 콘텐츠/메타데이터,47B52758F6B97D7484CC546149BD4232B2114C4FD2DE756C84976706162B18CA,B3913904C24A142F2C709849C70CB00DB8418E4B796865C8E0258069350F9C8A,887930f6e88c80568d62dab9cfbe1ba8a498a252,6de481ede0977937293a654cc096c0c0126ca334,47B52758F6B97D7484CC546149BD4232B2114C4FD2DE756C84976706162B18CA,crlf_except,,,,,,
common/ai_areas/HoK_ai_areas.txt,ADD,SHIPPED,no,common/ai_areas/HoK_ai_areas.txt,RT56과 같은 경로가 없는 HOK 고유 콘텐츠/메타데이터,35E4344FBF7B3D79E89612C8390F6D89A0C3D8AA91BAB622EDDD9BF071A6E19D,35E4344FBF7B3D79E89612C8390F6D89A0C3D8AA91BAB622EDDD9BF071A6E19D,887930f6e88c80568d62dab9cfbe1ba8a498a252,5c2088bc6e3ba758dc1a105f640c93bcbb319718,35E4344FBF7B3D79E89612C8390F6D89A0C3D8AA91BAB622EDDD9BF071A6E19D,crlf,,,,,,
common/ai_strategy/FIN_finppong.txt,USE_RT56,OMITTED_OUT_OF_SCOPE,no,(omitted; RT56/vanilla scope retained),한국 전용 포트에서 FIN 도전 모듈 제외,82D8084BD676B54C94DEC1DD0E2E2A41A440CBCFB8F4C4E988E764B98ECDAB11,,887930f6e88c80568d62dab9cfbe1ba8a498a252,5b6de0782a812a40e62538a778206fa35acb031e,82D8084BD676B54C94DEC1DD0E2E2A41A440CBCFB8F4C4E988E764B98ECDAB11,crlf,,,,,,
common/ai_strategy/KOR.txt,ADD,SHIPPED,no,common/ai_strategy/KOR.txt,RT56과 같은 경로가 없는 HOK 고유 콘텐츠/메타데이터,EEF43F88F0E63A23FC9CF63F0078298EA72A30F178B725B29574D9F141A16B98,0F559EB9C0A4E2E799DBA30BAC1F7D9DAEE15AA9474F0C9511C5478277AF8B0C,887930f6e88c80568d62dab9cfbe1ba8a498a252,2dd31008a44032120240184bae010caf0afcb7ed,EEF43F88F0E63A23FC9CF63F0078298EA72A30F178B725B29574D9F141A16B98,raw,,,,,,
common/ai_strategy_plans/KOR_alternate_strategy_plan.txt,ADD,SHIPPED,no,common/ai_strategy_plans/KOR_alternate_strategy_plan.txt,RT56과 같은 경로가 없는 HOK 고유 콘텐츠/메타데이터,C93F9F367B3B986025503E74A7D8E3D57FA3CC02074508755EAFC9377060CBBB,C93F9F367B3B986025503E74A7D8E3D57FA3CC02074508755EAFC9377060CBBB,887930f6e88c80568d62dab9cfbe1ba8a498a252,f374d1215a8bf4f26749ab10aaefd8a86d2e030d,C93F9F367B3B986025503E74A7D8E3D57FA3CC02074508755EAFC9377060CBBB,crlf,,,,,,
common/ai_strategy_plans/KOR_historical_strategy_plan.txt,ADD,SHIPPED,no,common/ai_strategy_plans/KOR_historical_strategy_plan.txt,RT56과 같은 경로가 없는 HOK 고유 콘텐츠/메타데이터,18C56A24FF5C93A944E58D71BB81AFFADC332601861D980EF243ACF028D2A3E8,18C56A24FF5C93A944E58D71BB81AFFADC332601861D980EF243ACF028D2A3E8,118d7b53dfdbc120fcfe4b9d6792e66b2b519be7,b201d4e1a691336f39a5ade6a30b99d650dd43cc,18C56A24FF5C93A944E58D71BB81AFFADC332601861D980EF243ACF028D2A3E8,crlf,,,,,,
common/bookmarks/the_gathering_storm.txt,THREE_WAY_MERGE,GENERATED,yes,common/bookmarks/the_gathering_storm.txt,RT56 bookmark base에 HOK 한국 시작 블록만 병합,A834B48B0791C82B4DE719639D6951D64EA45176478B76115AA4D7211ADF6DDE,F116A6339D3520A4DD66986945578BED0CB07F5A9227509EF67B1F8BC0F2B40B,887930f6e88c80568d62dab9cfbe1ba8a498a252,a8c3f782bcd2cdfd2066b01adfef410470d7a2ee,A834B48B0791C82B4DE719639D6951D64EA45176478B76115AA4D7211ADF6DDE,raw,,,,064C1ABB1475B8EBFD4E53CAB3D4DCE77CE37B4BE0A0A9EE6EA53988FB36F3B9,,
common/buildings/02_landmark_buildings_HoK.txt,ADD,SHIPPED,no,common/buildings/02_landmark_buildings_HoK.txt,RT56과 같은 경로가 없는 HOK 고유 콘텐츠/메타데이터,3CAC3AA7BDBBD24686E5B0638007DEE1694B234B1D3D5B3F6AEA52CDB32FA026,3CAC3AA7BDBBD24686E5B0638007DEE1694B234B1D3D5B3F6AEA52CDB32FA026,887930f6e88c80568d62dab9cfbe1ba8a498a252,7199ea7278170f3f531ee209e8f2ff01436af155,3CAC3AA7BDBBD24686E5B0638007DEE1694B234B1D3D5B3F6AEA52CDB32FA026,crlf,,,,,,
